key_type,key_value,match_strength,papers_with_code_records,biotools_records,total_records
normalized_name,distiller,ambiguous_name_only,4,1,5
normalized_name,cat net,ambiguous_name_only,4,1,5
normalized_name,brainiak,ambiguous_name_only,3,2,5
normalized_name,unet,ambiguous_name_only,4,1,5
normalized_name,gda,ambiguous_name_only,3,2,5
normalized_name,hdbscan,ambiguous_name_only,4,1,5
normalized_name,pic,ambiguous_name_only,4,1,5
normalized_name,precise,ambiguous_name_only,3,2,5
normalized_name,corex,ambiguous_name_only,3,2,5
normalized_name,project,ambiguous_name_only,4,1,5
normalized_name,dolphin,ambiguous_name_only,4,1,5
normalized_name,faster,ambiguous_name_only,4,1,5
normalized_name,pac,ambiguous_name_only,3,2,5
normalized_name,cake,ambiguous_name_only,4,1,5
normalized_name,maf,ambiguous_name_only,4,1,5
normalized_name,tulip,ambiguous_name_only,4,1,5
normalized_name,signet,ambiguous_name_only,4,1,5
normalized_name,moss,ambiguous_name_only,4,1,5
normalized_name,sga,ambiguous_name_only,4,1,5
normalized_name,dingo,ambiguous_name_only,4,1,5
normalized_name,sparrow,ambiguous_name_only,4,1,5
normalized_name,deca,ambiguous_name_only,3,2,5
normalized_name,porter5,ambiguous_name_only,2,3,5
normalized_name,masc,ambiguous_name_only,4,1,5
normalized_name,splitter,ambiguous_name_only,2,3,5
normalized_name,treat,ambiguous_name_only,3,2,5
normalized_name,echo,ambiguous_name_only,4,1,5
normalized_name,bit,ambiguous_name_only,4,1,5
normalized_name,help,ambiguous_name_only,4,1,5
normalized_name,tenet,ambiguous_name_only,3,2,5
normalized_name,pinet,ambiguous_name_only,3,2,5
normalized_name,hype,ambiguous_name_only,4,1,5
normalized_name,sparc,ambiguous_name_only,4,1,5
normalized_name,vampire,ambiguous_name_only,2,3,5
normalized_name,bags,ambiguous_name_only,3,2,5
normalized_name,cada,ambiguous_name_only,4,1,5
normalized_name,lsr,ambiguous_name_only,4,1,5
normalized_name,castor,ambiguous_name_only,4,1,5
normalized_name,morpheus,ambiguous_name_only,3,2,5
normalized_name,phyre,ambiguous_name_only,3,2,5
normalized_name,bison,ambiguous_name_only,2,3,5
normalized_name,liquid,ambiguous_name_only,3,2,5
normalized_name,cate,ambiguous_name_only,4,1,5
normalized_name,lama,ambiguous_name_only,4,1,5
normalized_name,sem,ambiguous_name_only,4,1,5
normalized_name,alter,ambiguous_name_only,4,1,5
normalized_name,temp,ambiguous_name_only,4,1,5
